Sausage ,298
Saw Batten,299
Scythe ,300
Sheeting ,301
Shoes ,302
Shoes Kauf,303
Shot ,304
Shovel ,305
Shovel Spade,306
Silk Thread,307
Slave Probate,308
Slave Probate Deflated,309
Slave Sale,310
Soap ,311
Soap Brown,312
Socks ,313
Sorghum ,314
Soy ,315
Soya Sauce ,316
Soybean ,317
Speck Kauf,318
Speck Verkauf,319
Spelt ,320
Spirits ,321
Stockfish ,322
Stockfish Icelandic,323
Stockings ,324
Stockings Kauf,325
Straw ,326
Suet ,327
Sugar ,328
Sugar Ground,329
Sugar Loaf,330
Sugar Maple,331
Sugar White,332
Tallow ,333
Tallow Candle,334
Tar ,335
Tax Personal property,336
Tax Real estate,337
Tea ,338
Tea Zencha,339
Tiles ,340
Tobacco ,341
Transportation Freight-Ton,342
Transportation Passenger,343
Treacle ,344
Trenchers Equipment,345
Turkey Dressed,346
Turnips ,347
Turpentine ,348
Underpants Kauf,349
Veal ,350
Veal Calves,351
Veal Dressed,352
Veal Verkauf,353
Vinegar ,354
Vinegar Kauf,355
Wax ,356
Wax Candle,357
Wax Spanish,358
Wheat ,359
Wheat Black,360
Wheat British Empirial,361
Wheat Civil,362
Wheat Dozzinale,363
Wheat French,364
Wheat Kauf,365
Wheat Koenigsberg,366
Wheat Late,367
Wheat Mugi,368
Wheat Polish,369
Wheat St. Georgen,370
Wheat Swedish,371
Wheat Verkauf,372
Wheat White,373
Whiskey ,374
Wine ,375
Wine Ausschank,376
Wine French,377
Wine Green,378
Wine Green Fired,379
Wine Kauf,380
Wine Marc,381
Wine New,382
Wine Port,383
Wine Red Common,384
Wine Rhine,385
Wine San Pedro Telmo,386
Wine Verkauf,387
Wine White,388
Wood ,389
Wool ,390
Wool Unwashed,391
Wool Washed,392
Yerba ,393
